Name,Address_x,Price,Cuisine,Neighborhood,Inspection ID,AKA Name,License #,Facility Type,Risk,Address_y,City,State,Zip,Inspection Date,Inspection Type,Results,Violations,Latitude,Longitude,Location
ORIOLE,"661 W. WALNUT ST. CHICAGO, IL 60661",$$$$,AMERICAN,FULTON MARKET,2575075.0,ORIOLE,2781335.0,Restaurant,Risk 1 (High),661 W WALNUT ST ,CHICAGO,IL,60661.0,2023-04-27,Canvass Re-Inspection,Pass,58. ALLERGEN TRAINING AS REQUIRED - Comments: OBSERVED THE CITY OF CHICAGO FOOD CERTIFIED MANAGER WITH NO PROOF OF AN ALLERGEN TRAINING CERTIFICATE. INSTRUCTED ALL CITY OF CHICAGO CERTIFIED FOOD MANAGERS TO OBTAIN THIS CERTIFICATE.,41.88613536862084,-87.6451750641585,"(41.886135368620835, -87.6451750641585)"
ORIOLE,"661 W. WALNUT ST. CHICAGO, IL 60661",$$$$,AMERICAN,FULTON MARKET,2574666.0,ORIOLE,2781335.0,Restaurant,Risk 1 (High),661 W WALNUT ST ,CHICAGO,IL,60661.0,2023-04-20,Canvass,Fail,"54. GARBAGE & REFUSE PROPERLY DISPOSED; FACILITIES MAINTAINED - Comments: OBSERVED OUTSIDE DUMPSTER WITH NO LIDS AND DOCK DOORS UP. INSTRUCTED TO PROVIDE DUMPSTER LIDS AND MAINTAIN TO ENSURE TIGHT FITTING LIDS. PRIORITY FOUNDATION VIOLATION #7-38-020(B). CITATION ISSUED. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED MISSING CEILINGS TILE PANELS IN THE DISHROOM ABOVE THE HIGH-TEMPERATURE DISH MACHINE. INSTRUCTED TO PROVIDE MISSING PANEL TILES. | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: OBSERVED INADEQUATE LIGHTING IN THE BASEMENT LOCATED IN THE DRY STORAGE AREA. INSTRUCTED TO PROVIDE AND MAINTAIN. | 58. ALLERGEN TRAINING AS REQUIRED - Comments: OBSERVED THE CITY OF CHICAGO FOOD CERTIFIED MANAGER WITH NO PROOF OF AN ALLERGEN TRAINING CERTIFICATE. INSTRUCTED ALL CITY OF CHICAGO CERTIFIED FOOD MANAGERS TO OBTAIN THIS CERTIFICATE.",41.88613536862084,-87.6451750641585,"(41.886135368620835, -87.6451750641585)"
ORIOLE,"661 W. WALNUT ST. CHICAGO, IL 60661",$$$$,AMERICAN,FULTON MARKET,2510727.0,ORIOLE,2781335.0,Restaurant,Risk 1 (High),661 W WALNUT ST ,CHICAGO,IL,60661.0,2021-06-03,License,Pass,"10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: OBSERVED NO HANDWASHING SIGNAGE AT HANDSINKS LOCATED IN KITCHEN PREP AND BAR AREAS. INSTRUCTED TO PROVIDE.   | 44. UTENSILS, EQUIPMENT & LINENS: PROPERLY STORED, DRIED, & HANDLED - Comments: OBSERVED PLATES AND BOWLS STORED IN KITCHEN PREP AREA NOT INVERTED. INSTRUCTED MANAGEMENT TO INVERT PLATES AFTER SANITIZING AND AIR DRYING. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: OBSERVED NO BACKFLOW PREVENTER DEVICE ON ESPRESSO MACHINE IN COFFEE PREP AREA. INSTRUCTED TO INSTALL TO ENSURE DEVICE CAN BE LOCATED, SERVICED, AND MAINTAINED. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: OBSERVED NO COVERED RECEPTACLE FOR PROPER DISPOSAL OF SANITARY NAPKINS IN ALL UNISEX WASHROOMS. INSTRUCTED TO PROVIDE COVERED WASTE RECEPTACLE. | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: OBSERVED AN ACCUMULATION OF DIRT/DEBRIS BUILDUP ON THE EXHAUST VENTILATION FAN IN THE BASEMENT WASHROOM. MUST DETAIL CLEAN AND MAINTAIN",41.88613536862084,-87.6451750641585,"(41.886135368620835, -87.6451750641585)"
ORIOLE,"661 W. WALNUT ST. CHICAGO, IL 60661",$$$$,AMERICAN,FULTON MARKET,2151058.0,ORIOLE,2418112.0,Restaurant,Risk 1 (High),661 W WALNUT ST ,CHICAGO,IL,60661.0,2018-03-27,Canvass,Fail,"16. FOOD PROTECTED DURING STORAGE, PREPARATION, DISPLAY, SERVICE AND TRANSPORTATION - Comments: Observed food not protected. Observed the following vacuum sealed products in basement freezer chest:  10lbs of lamb belly, at a value of $75.00  14 oz of wagu beef, at a value of $65.00  12 oz of scallops, at a value of $15.00  12oz of squab, at a value of $36.00  1.5lbs of sea bass, at a value of $22.00  2lbs of pork belly, at a value of $12.00  3.5lbs of cod filet, at a value of $45.00  4lbs whole squid, at a value of $20.00  5lbs of four grad, at a value of $200.00  7lbs of ground pork, at a value of $35.00  10lbs of fish stock, $3.00  5lbs of black forrest ham, at a value of $25.00  6lbs of hake fish, at a value of $60.00  Operator does not have prior letter of approval from the Chicago department of public health, to vacuum seal products on site. The vacuum packaging equipment was not on site at time of inspection. Manager confirmed that vacuum sealing was done on site with personal Food Saver vacuum device, no receipts or invoices for above products could be produced; manager voluntarily discarded/denatured the above foods at a total weight of 80.75lbs, at a total value of $613.00.   Instructed operator not use vacuum seal equipment or vacuum package food until approval has been obtained from the CDPH.   Serious citation issued: 7-38-005(a) | 29. PREVIOUS MINOR VIOLATION(S) CORRECTED 7-42-090 - Comments: Observed previous minor violations from report #2072038, date 8/8/17, not corrected:  #35- Observed high, open ceiling above coffee prep area. Must modify ceiling to make smooth and easily cleanable. Must maintain same.  Instructed manager to correct violation for re inspection.  Serious violation #7-42-090 | 31. CLEAN MULTI-USE UTENSILS AND SINGLE SERVICE ARTICLES PROPERLY STORED: NO REUSE OF SINGLE SERVICE ARTICLES - Comments: Observed glass ware stored up right,  on wooden shelving units throughout dinning room. Informed site that items must be inverted while in storage to prevent contamination. Instructed manager to inverted. Maintain at all times.  | 32. FOOD AND NON-FOOD CONTACT SURFACES PROPERLY DESIGNED, CONSTRUCTED AND MAINTAINED - Comments: Observed cracked and split cooler gaskets on 1 door parlick cooler in coffee station.  Instructed manager to repair and or replace. maintain at all times.  Observed rust on gray wire mini shelving unit in 4 door continental reach in cooler at cook line. Instructed manager to remove shelving unit and replace with food grade surface. Maintain at all times | 35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: Observed raw unfinished brick wall throughout dining room. Also observed raw wood pillar beams in middle of dinning room. Informed manager that all surfaces must be smooth and easily cleanable. Instructed manager to seal surfaces and ensure surface is smooth and easily cleanable.  Observed cracked, deteriorating and mold like substance in caulking along dish machine drain board. Instructed manager to remove, reseal surface and maintain at all times.",41.88613536862084,-87.6451750641585,"(41.886135368620835, -87.6451750641585)"
ORIOLE,"661 W. WALNUT ST. CHICAGO, IL 60661",$$$$,AMERICAN,FULTON MARKET,2159238.0,ORIOLE,2418112.0,Restaurant,Risk 1 (High),661 W WALNUT ST ,CHICAGO,IL,60661.0,2018-03-30,Canvass Re-Inspection,Pass,"32. FOOD AND NON-FOOD CONTACT SURFACES PROPERLY DESIGNED, CONSTRUCTED AND MAINTAINED - Comments: Observed cracked and split cooler gaskets on 1 door parlick cooler in coffee station. Instructed manager to repair and or replace. maintain at all times. Observed rust on gray wire mini shelving unit in 4 door continental reach in cooler at cook line. Instructed manager to remove shelving unit and replace with food grade surface. Maintain at all times | 35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: Observed raw unfinished brick wall throughout dining room. Also observed raw wood pillar beams in middle of dinning room. Informed manager that all surfaces must be smooth and easily cleanable. Instructed manager to seal surfaces and ensure surface is smooth and easily cleanable. Observed cracked, deteriorating and mold like substance in caulking along dish machine drain board. Instructed manager to remove, reseal surface and maintain at all times.",41.88613536862084,-87.6451750641585,"(41.886135368620835, -87.6451750641585)"
ORIOLE,"661 W. WALNUT ST. CHICAGO, IL 60661",$$$$,AMERICAN,FULTON MARKET,2072038.0,ORIOLE,2418112.0,Restaurant,Risk 1 (High),661 W WALNUT ST ,CHICAGO,IL,60661.0,2017-08-08,Canvass,Pass,"35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: Observed high, open ceiling above coffee prep area. Must modify ceiling to make smooth and easily cleanable. Must maintain same.  | 38. VENTILATION: ROOMS AND EQUIPMENT VENTED AS REQUIRED: PLUMBING: INSTALLED AND MAINTAINED - Comments: Observed canned beverages stored directly below sewage waste pipe in far corner of basement storage area. Must relocate items or completely encase all sewage waste pipes. Must maintain same. ",41.88613536862084,-87.6451750641585,"(41.886135368620835, -87.6451750641585)"
ORIOLE,"661 W. WALNUT ST. CHICAGO, IL 60661",$$$$,AMERICAN,FULTON MARKET,1977020.0,ORIOLE,2418112.0,Restaurant,Risk 1 (High),661 W WALNUT ST ,CHICAGO,IL,60661.0,2016-12-13,Canvass,Pass,31. CLEAN MULTI-USE UTENSILS AND SINGLE SERVICE ARTICLES PROPERLY STORED: NO REUSE OF SINGLE SERVICE ARTICLES - Comments: OBSERVED MULTI-USE UTENSILS BEING STORED WITH THE USE END PRESENTED TO THE CONSUMER. INSTRUCTED TO STORE MULTI-USE UTENSILS INVERTED/WITH HANDLES PRESENTED TO THE CONSUMER.,41.88613536862084,-87.6451750641585,"(41.886135368620835, -87.6451750641585)"
ORIOLE,"661 W. WALNUT ST. CHICAGO, IL 60661",$$$$,AMERICAN,FULTON MARKET,1632226.0,ORIOLE,2418112.0,Restaurant,Risk 1 (High),661 W WALNUT ST ,CHICAGO,IL,60661.0,2016-02-25,License,Pass,"41. PREMISES MAINTAINED FREE OF LITTER, UNNECESSARY ARTICLES, CLEANING  EQUIPMENT PROPERLY STORED - Comments: INSTRUCTED TO STORE CLEANING EQUIPMENT (LIKE MOPS AND BROOMS) AT LEAST 6 INCHES OFF THE GROUND.",41.88613536862084,-87.6451750641585,"(41.886135368620835, -87.6451750641585)"
ORIOLE,"661 W. WALNUT ST. CHICAGO, IL 60661",$$$$,AMERICAN,FULTON MARKET,2596396.0,ORIOLE,2781335.0,Restaurant,Risk 1 (High),661 W WALNUT ST,CHICAGO,IL,60661.0,2024-06-17,Canvass,Pass w/ Conditions,"10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: OBSERVED IMPROPER MINIMUM WATER TEMPERATURES RANGING BETWEEN 91.0-95.2F AT HANDWASHING SINKS IN FIRST FLOOR ALL GENDER WASHROOMS(1,2, AND 4). INSTRUCTED A HANDWASHING SINK SHALL BE EQUIPPED TO PROVIDE WATER AT A TEMPERATURE OF AT LEAST 100F THROUGH A MIXING VALVE OR COMBINATION FAUCET. CORRECTED ON SITE HANDWASHING SINKS IN FIRST FLOOR ALL GENDER WASHROOMS(1,2, AND 4) REPAIRED BEFORE CONCLUSION OF INSPECTION OBSERVED PROPER MINIMUM WATER TEMPERATURES RANGING BETWEEN 102.0-113.6F AT HANDWASHING SINKS IN SAID WASHROOMS. PRIORITY VIOLATION 7-38-030(C) CITATION ISSUED. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: OBSERVED NO COVERED RECEPTACLE IN ALL GENDER BASEMENT EMPLOYEE WASHROOM. INSTRUCTED TO PROVIDE COVERED RECEPTACLE IN ALL GENDER EMPLOYEE WASHROOM IN BASEMENT FOR SANITARY PRODUCTS. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: OBSERVED DOOR OF EMPLOYEE ALL GENDER WASHROOM IN BASEMENT NOT SELF CLOSING. INSTRUCTED TO INSTALL SELF CLOSING DEVICE ON EMPLOYEE ALL GENDER WASHROOM DOOR SO THAT IT IS TIGHT FITTING AND SELF CLOSING. | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: OBSERVED DUST ON CONDENSOR FAN COVERS IN WALKIN COOLER. INSTRUCTED TO CLEAN CONDENSOR FAN COVERS IN WALK IN COOLER AND MAINTAIN. | 61. SUMMARY REPORT DISPLAYED AND VISIBLE TO THE PUBLIC - Comments: OBSERVED SUMMARY REPORT FROM LAST INSPECTION DATED 04/27/2023 NOT POSTED FOR PUBLIC VIEW. INSTRUCTED SUMMARY REPORTS SHALL BE POSTED IN PUBLIC VIEW AT ALL TIMES. CORRECTED ON SITE SUMMARY REPORT FROM LAST INSPECTION DATED 04/27/2023 FOUND AND POSTED BEFORE CONCLUSION OF INSPECTION. PRIORITY FOUNDATION VIOLATION 7-42-010(B) CITATION ISSUED",41.88613536862084,-87.6451750641585,"(41.886135368620835, -87.6451750641585)"
KASAMA,"1001 N WINCHESTER AVE CHICAGO, ILLINOIS 60622",$$,FILIPINO,UKRAINIAN VILLAGE,2552388.0,KASAMA,2709474.0,Restaurant,Risk 1 (High),1001 N WINCHESTER AVE,CHICAGO,IL,60622.0,2022-03-02,Short Form Complaint,Pass,"38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments:  OBSERVED A 1/4"" GAP AT THE BOTTOM OF THE REAR EXIT DOOR. MUST PROVIDE A TIGHT FITTING SEAL AT ALL OUTER OPENINGS TO PREVENT THE ENTRY OF PESTS.",41.8996641853712,-87.67578654766524,"(41.8996641853712, -87.67578654766524)"
